"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5100","Product search test @master @regression","chromium","2026-07-26","passed","2026-07-26","","SearchProduct.spec.ts","",""
"","25210","Login Test with JSON Data: ""Valid login"" @datadriven","chromium","2026-07-26","passed","2026-07-26","","LoginDataDriven.spec.ts","",""
"","10457","Login Test with CSV Data: ""valid login"" @datadriven","chromium","2026-07-26","passed","2026-07-26","","LoginDataDriven.spec.ts","",""
"","28920","Login Test with JSON Data: ""Invalid login"" @datadriven","chromium","2026-07-26","passed","2026-07-26","","LoginDataDriven.spec.ts","",""
"","7485","Login with CSV Data: ""Valid login"" @datadriven","chromium","2026-07-24","passed","2026-07-24","","LoginDataDriven.spec.ts","",""
"","11519","User logout test @master @regression","chromium","2026-07-26","passed","2026-07-26","","Logout.spec.ts","",""
"","5452","User Login Test","chromium","2026-07-24","passed","2026-07-24","","Login.spec.ts","",""
"","33819","User Login Test @master @sanity @regression","chromium","2026-07-26","passed","2026-07-26","","Login.spec.ts","",""
"","33131","Add product to cart test @master @regression","chromium","2026-07-26","broken","2026-07-26","","AddToCart.spec.ts","",""
"","9875","Login with JSON Data: ""Valid login"" @datadriven","chromium","2026-07-24","passed","2026-07-24","","LoginDataDriven.spec.ts","",""
"","20869","User registration test","chromium","2026-07-22","passed","2026-07-22","","AccountRegistration.spec.ts","",""
"","38221","execute end-to-end test flow @end-to-end","chromium","2026-07-26","broken","2026-07-26","","EndToEndTest.spec.ts","",""
"","9164","Login with JSON Data: ""Invalid login"" @datadriven","chromium","2026-07-24","passed","2026-07-24","","LoginDataDriven.spec.ts","",""
"","32424","User registration test @master @sanity @regression","chromium","2026-07-26","broken","2026-07-26","","AccountRegistration.spec.ts","",""
"","15174","Login Test with CSV Data: ""Valid login"" @datadriven","chromium","2026-07-26","passed","2026-07-26","","LoginDataDriven.spec.ts","",""
"","6316","Login with CSV Data: ""valid login"" @datadriven","chromium","2026-07-24","passed","2026-07-24","","LoginDataDriven.spec.ts","",""
